title,artist
Alone,Heart
The Story,Brandi Carlile
And We Danced,Macklemore
Auld Lang Syne,Robert Burns
Say You Wont Let Go,James Arthur
Save as Draft,Katy Perry
Kids,MGMT
No Vacancy,OneRepublic
God Is a Girl,Groove Coverage
Apollo,Timebelle
Be there,Krewella
A New Day Has Come ,Celine Dion
Nights With You,MO
Afterlife,Avenged Sevenfold
Coconut Tree ,Mohombi
20 Good Reasons,Thirsty Merc
21 Guns,Green Day
Africa,Toto
Aicha,Cheb Khaled
Aint Your Mama,Jennifer Lopez
Airplanes,B.o.B
All Too Well,Taylor Swift
All You Wanted,Michelle Branch
Always on My Mind,Brenda Lee
Amaranth,Nightwish
Amaranthine,Amaranthe
Androgynous,The Replacements
Another Girl Another Planet,The Only Ones
Apologize,OneRepublic
Atemlos,Helene Fischer
Bad Blood,Taylor Swift
Bailando,Enrique Iglesias
Beast of Burden,The Rolling Stones
Beautiful,Akon
Born to Make You Happy,Britney Spears
Bridge of Light,Pnk
Brighter,Against the Current
Brighter Than the Sun,Colbie Caillat
Bullet,Hollywood Undead
California King Bed,Rihanna
Caramelldansen,Caramell
Cheap Thrills,Sia
Ciaccona,Antonio Bertali
Come Over,Kenny Chesney
Complicated,Avril Lavigne
Confusion and Frustration in Modern Times,Sum 41
I'm an Albatraoz,AronChupa
Contact,Daft Punk
Cruise,Florida Georgia Line
Cryin,Aerosmith
Cute Without The E ,Aerosmith
Dammit,Blink-182
Demons,Imagine Dragons
De Musica Ligera,Soda Stereo
Despacito,Luis Fonsi
Dirty Little Secret,The All-American Rejects
Dont Forget Me,Red Hot Chili Peppers
Dont Stop Believin,Journey
Dont Stop the Dancing,DJ Manian
Dont Trust Me,3OH3
Dont You Wanna Stay,Jason Aldean
Down,Jay Sean
Down Under,Men at Work
Dream Catch Me,Newton Faulkner
Drive By,Train
Duke of Earl,Gene Chandler
Electrical Storm,U2
Enter the Ninja,Die Antwoord
Faded,Alan Walker
Fall At Your Feet,Crowded House
Colour My Love,Barbarella
Feeling This,Blink-182
